Year,County,AQI Median
1981-12-31,Alameda,43.0
1981-12-31,Butte,33.0
1981-12-31,Colusa,35.0
1981-12-31,Contra Costa,44.0
1981-12-31,El Dorado,71.0
1981-12-31,Fresno,79.0
1981-12-31,Glenn,32.0
1981-12-31,Imperial,46.0
1981-12-31,Kern,74.0
1981-12-31,Kings,34.0
1981-12-31,Lake,28.0
1981-12-31,Los Angeles,176.0
1981-12-31,Marin,38.0
1981-12-31,Mendocino,19.0
1981-12-31,Mono,11.0
1981-12-31,Monterey,37.0
1981-12-31,Orange,100.0
1981-12-31,Placer,40.0
1981-12-31,Riverside,136.0
1981-12-31,Sacramento,58.0
1981-12-31,San Benito,37.0
1981-12-31,San Bernardino,151.0
1981-12-31,San Diego,116.0
1981-12-31,San Francisco,38.0
1981-12-31,San Joaquin,42.0
1981-12-31,San Luis Obispo,42.0
1981-12-31,San Mateo,28.0
1981-12-31,Santa Barbara,58.0
1981-12-31,Santa Clara,44.0
1981-12-31,Santa Cruz,35.0
1981-12-31,Shasta,35.0
1981-12-31,Siskiyou,28.0
1981-12-31,Solano,38.0
1981-12-31,Sonoma,38.0
1981-12-31,Stanislaus,54.0
1981-12-31,Sutter,26.0
1981-12-31,Tulare,57.0
1981-12-31,Ventura,84.0
1981-12-31,Yolo,37.0
1982-12-31,Alameda,39.0
1982-12-31,Butte,38.0
1982-12-31,Colusa,43.0
1982-12-31,Contra Costa,46.0
1982-12-31,El Dorado,67.0
1982-12-31,Fresno,77.0
1982-12-31,Glenn,47.0
1982-12-31,Imperial,37.0
1982-12-31,Kern,68.0
1982-12-31,Kings,42.0
1982-12-31,Lake,32.0
1982-12-31,Los Angeles,151.0
1982-12-31,Marin,38.0
1982-12-31,Mendocino,28.0
1982-12-31,Mono,34.0
1982-12-31,Monterey,34.0
1982-12-31,Orange,79.0
1982-12-31,Placer,47.0
1982-12-31,Riverside,103.0
1982-12-31,Sacramento,57.0
1982-12-31,San Benito,37.0
1982-12-31,San Bernardino,108.0
1982-12-31,San Diego,90.0
1982-12-31,San Francisco,39.0
1982-12-31,San Joaquin,47.0
1982-12-31,San Luis Obispo,39.0
1982-12-31,San Mateo,28.0
1982-12-31,Santa Barbara,57.0
1982-12-31,Santa Clara,44.0
1982-12-31,Santa Cruz,34.0
1982-12-31,Shasta,37.0
1982-12-31,Siskiyou,31.0
1982-12-31,Solano,38.0
1982-12-31,Sonoma,35.0
1982-12-31,Stanislaus,47.0
1982-12-31,Sutter,42.0
1982-12-31,Tulare,57.0
1982-12-31,Ventura,93.0
1982-12-31,Yolo,35.0
1983-12-31,Alameda,38.0
1983-12-31,Butte,34.0
1983-12-31,Colusa,44.0
1983-12-31,Contra Costa,44.0
1983-12-31,El Dorado,62.0
1983-12-31,Fresno,61.0
1983-12-31,Glenn,44.0
1983-12-31,Imperial,34.0
1983-12-31,Kern,61.0
1983-12-31,Kings,48.0
1983-12-31,Lake,31.0
1983-12-31,Los Angeles,143.0
1983-12-31,Marin,38.0
1983-12-31,Mendocino,19.0
1983-12-31,Mono,37.0
1983-12-31,Monterey,37.0
1983-12-31,Orange,87.0
